コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
合計,,,,1344,0:07:04,14.81,28.44,971,1.3841,86,161,1819,158.5302,-6,21180,4.79
3qm3UGlP_1s,夏・補強・感想。あと次の予想【マンチェスターユナイテッド】,"Feb 28, 2026",751,830,0:05:52,46.92,,702,1.1823,,,830,81.2358,3,13388,5.05
tGTNe8i5TMo,Carrick on the Wheel【マンチェスターユナイテッド】,"Feb 15, 2026",10810,287,0:14:32,8.07,,168,1.7083,22,137,287,69.5381,0,2378,9.5
87RKzXIghXU,シティ処罰しなくて良くね？って意見があったので【質問・プレミア】,"Mar 1, 2026",57,94,0:00:31,55.07,18.36,91,1.033,,,501,0.9433,0,341,8.21
MslDwvEH_n4,カゼミロの後釜、ウガルテの話 #サッカー  #マンチェスターユナイテッド #PSG #移籍,"Jul 14, 2024",46,29,0:00:24,52.88,75.68,28,1.0357,22,5,40,0.1984,0,318,5.97
em4Hfl0oEyY,【マンチェスターユナイテッド】ウガルテ加入したら何が起きるのだろうか #マンチェスターユナイテッド #サッカー  #移籍 #manchesterunited,"Jul 21, 2024",42,21,0:00:23,54.87,81.82,21,1,11,8,29,0.136,0,183,8.74
lakkooGYpAY,ホームチェルシー戦予想。記録継続頼みます。#マンチェスターユナイテッド #プレミアリーグ,"Sep 20, 2025",109,8,0:00:07,7.26,47.06,8,1,0,6,20,0.0227,0,189,3.7
lpan4y7JBDs,レニー・ヨロ、ユナイテッド加入！ #マンチェスターユナイテッド #サッカー #premierleague #移籍 #ヨロ,"Jul 17, 2024",26,8,0:00:18,71.11,58.33,8,1,4,3,14,0.0432,0,138,4.35
3xA1VjfSCY0,要らなくないですか？【マンチェスターユナイテッド】,"Oct 8, 2025",789,4,0:04:37,35.17,,3,1.3333,0,1,4,0.3083,0,163,1.84
Y5ebrlk_OPU,背番号の意味  #サッカー #manchesterutd #プレミアリーグ #背番号,"Aug 17, 2025",127,4,0:00:51,40.27,66.67,2,2,2,0,8,0.057,0,196,1.53
eGRrCirhkSA,神童・メイヌーの売却説につきまして　 #manchesterutd #サッカー #mufc #マンチェスターユナイテッド,"Aug 27, 2025",168,4,0:00:57,34.12,57.14,4,1,0,3,7,0.0656,0,185,2.16
yPtgU4jbU0k,マンチェスターユナイテッドでの4-4-2ダイヤモンド問題,"Sep 21, 2023",60,4,0:00:28,47.45,80,4,1,3,1,6,0.0319,0,116,3.45
1ZbMpRt3ME0,ルーニー、やはり化け物だった,"Jul 28, 2023",4,3,0:00:08,205.5,75,3,1,3,0,10,0.0072,0,39,5.13
ipYlw-PwA0Y,初連勝がリヴァプール戦、ってのは悪くないと思いますよ【マンチェスターユナイテッド】,"Oct 18, 2025",292,3,0:00:25,8.58,,3,1,0,3,3,0.0209,0,169,1.18
lXm22nxq7Xk,マンチェスターユナイテッド新キーパー？オナナのカバー範囲について,"Jul 8, 2023",45,3,0:00:16,37.76,50,3,1,3,0,6,0.0147,0,85,2.35
rtiAm-QzCWs,シェシュコ来ました。なんで期待値しゃべる【マンチェスターユナイテッド】,"Aug 8, 2025",1610,3,0:00:21,1.32,,3,1,2,0,3,0.0177,0,64,1.56
 -zTsv7sjWrM,シェシュコが最有力候補。一方売却進まず。金あるんすかね？【マンチェスターユナイテッド】,"Aug 2, 2025",2590,2,0:21:34,50,,2,1,1,1,2,0.7194,0,7,0
3srZWqMiuPQ,【マンチェスターユナイテッド】ヨロって実際そんな上手いん？って話,"Jul 19, 2024",1112,2,0:00:07,0.71,,1,2,1,0,2,0.0044,0,3,0
9jaYPPlytZo,【ティアリスト】マンチェスターユナイテッド補強ティアリスト切り抜きパート1,"Mar 20, 2024",1038,2,0:04:58,28.75,,2,1,1,0,2,0.1658,0,11,18.18
O4NJWoxPRGg,【過大評価？】補強第一号候補、ブランスウェイト,"Jun 21, 2024",665,2,0:00:15,2.31,,2,1,1,0,2,0.0085,0,30,6.67
QspTlx_k7X8,ラッシュフォード、バルセロナ行くんだってよ #manchesterutd #サッカー,"Jul 21, 2025",36,2,0:00:13,37.14,66.67,1,2,0,1,3,0.0078,0,81,2.47
Rxqj1hndKJk,来た、見た、勝った。リヴァプール 1 -  2 マンチェスターユナイテッド,"Oct 21, 2025",15122,2,0:00:03,0.02,,2,1,0,2,2,0.0019,0,108,0.93
St3kRqSLdLI,移籍終盤。最後に一気に動きそうかな？【マンチェスターユナイテッド】,"Aug 30, 2025",4023,2,0:00:03,0.08,,2,1,0,2,2,0.0018,0,35,0
